"Ordenacao"	"Algoritmo"	"Tamanho"	"Tempo"	"Trocas"	"Comparacoes"
"Decrescente"	"mergeSort"	45000	12.1	339976	339976
"Decrescente"	"mergeSort"	50000	14.17	383286	383286
"Decrescente"	"quickSort"	1000	0.488	499	11963
"Decrescente"	"quickSort"	5000	8.404	2510	71378
"Decrescente"	"quickSort"	10000	1.204	5038	152790
"Decrescente"	"quickSort"	15000	1.098	7582	238089
"Decrescente"	"quickSort"	20000	1.52	10153	325730
"Decrescente"	"quickSort"	25000	2.25	12695	413803
"Decrescente"	"quickSort"	30000	2.305	15336	506519
"Decrescente"	"quickSort"	35000	2.304	17970	599283
"Decrescente"	"quickSort"	40000	3.407	20619	692084
"Decrescente"	"quickSort"	45000	4.021	23205	784858
"Decrescente"	"quickSort"	50000	4.209	25844	878672
"Aleatorio"	"bubbleSort"	1000	2.691	255754	497960
"Aleatorio"	"bubbleSort"	5000	109.256	6220198	12475715
"Aleatorio"	"bubbleSort"	10000	231.186	25373946	49950897
"Aleatorio"	"bubbleSort"	15000	583.44	56147924	112317925
"Aleatorio"	"bubbleSort"	20000	1283.52	99994637	199918405
"Aleatorio"	"bubbleSort"	25000	1738.77	155544510	312339324
"Aleatorio"	"bubbleSort"	30000	3076.594	224326334	449876368
"Aleatorio"	"bubbleSort"	35000	3927.426	306109187	612382987
"Aleatorio"	"bubbleSort"	40000	4554.197	401074063	799843748
"Aleatorio"	"bubbleSort"	45000	6285.006	507575266	1012341323
"Aleatorio"	"bubbleSort"	50000	8462.95	626074002	1249723241
"Aleatorio"	"shellSort"	1000	0.134	15464	7458
"Aleatorio"	"shellSort"	5000	1.216	117778	62773
"Aleatorio"	"shellSort"	10000	2.715	280334	160329
"Aleatorio"	"shellSort"	15000	3.904	421237	241230
"Aleatorio"	"shellSort"	20000	5.231	612515	352510
"Aleatorio"	"shellSort"	25000	9.186	833313	508307
"Aleatorio"	"shellSort"	30000	10.652	950032	560025
"Aleatorio"	"shellSort"	35000	10.234	1189571	699565
"Aleatorio"	"shellSort"	40000	12.364	1479222	919217
"Aleatorio"	"shellSort"	45000	11.282	1503463	873454
"Aleatorio"	"shellSort"	50000	54.921	1982487	1282481
"Aleatorio"	"heapSort"	1000	0.324	8390	16780
"Aleatorio"	"heapSort"	5000	28.167	53412	106824
"Aleatorio"	"heapSort"	10000	8.586	116767	233534
"Aleatorio"	"heapSort"	15000	7.927	183675	367350
"Aleatorio"	"heapSort"	20000	28.603	253500	507000
"Aleatorio"	"heapSort"	25000	10.438	325194	650388
"Aleatorio"	"heapSort"	30000	14.123	397414	794828
"Aleatorio"	"heapSort"	35000	12.797	471733	943466
"Aleatorio"	"heapSort"	40000	15.916	547169	1094338
"Aleatorio"	"heapSort"	45000	37.867	623374	1246748
"Aleatorio"	"heapSort"	50000	22.881	700276	1400552
"Aleatorio"	"mergeSort"	1000	0.299	8730	8730
"Aleatorio"	"mergeSort"	5000	2.104	55237	55237
"Aleatorio"	"mergeSort"	10000	4.37	120420	120420
"Aleatorio"	"mergeSort"	15000	9.104	189193	189193
"Aleatorio"	"mergeSort"	20000	7.844	260942	260942
"Aleatorio"	"mergeSort"	25000	10.068	334137	334137
"Aleatorio"	"mergeSort"	30000	13.714	408537	408537
"Aleatorio"	"mergeSort"	35000	13.595	484468	484468
"Aleatorio"	"mergeSort"	40000	17.736	561795	561795
"Aleatorio"	"mergeSort"	45000	20.087	639552	639552
"Aleatorio"	"mergeSort"	50000	101.419	718162	718162
"Aleatorio"	"quickSort"	1000	0.13	1858	16849
"Aleatorio"	"quickSort"	5000	0.841	11893	105494
"Aleatorio"	"quickSort"	10000	4.582	26328	230073
"Aleatorio"	"quickSort"	15000	3.196	41232	363335
"Aleatorio"	"quickSort"	20000	5.328	56141	496753
"Aleatorio"	"quickSort"	25000	4.286	72169	647359
"Aleatorio"	"quickSort"	30000	5.7	88350	788721
"Aleatorio"	"quickSort"	35000	6.253	105657	905382
"Aleatorio"	"quickSort"	40000	7.057	121316	1075160
"Aleatorio"	"quickSort"	45000	13.046	140233	1195978
"Aleatorio"	"quickSort"	50000	11.002	158259	1333655
